file,pylint_total,pylint_error,pylint_warning,pylint_convention,pylint_refactor,bandit_total,bandit_high,bandit_medium,bandit_low,severity
data\raw\buggy_imports.py,5,0,2,3,0,0,0,0,0,low
data\raw\buggy_logic.py,2,0,0,2,0,0,0,0,0,low
data\raw\buggy_security.py,3,0,1,2,0,0,0,0,0,low
data\raw\buggy_syntax.py,1,1,0,0,0,0,0,0,0,high
data\raw\buggy_unused.py,3,0,1,2,0,0,0,0,0,low
data\raw\critical_security1.py,3,0,1,2,0,0,0,0,0,low
data\raw\critical_security2.py,1,0,0,1,0,0,0,0,0,low
data\raw\critical_security3.py,1,0,0,1,0,0,0,0,0,low
data\raw\critical_security4.py,3,0,1,2,0,0,0,0,0,low
data\raw\critical_syntax1.py,1,1,0,0,0,0,0,0,0,high
data\raw\critical_syntax2.py,1,1,0,0,0,0,0,0,0,high
data\raw\high_import1.py,1,0,0,1,0,0,0,0,0,low
data\raw\high_import2.py,2,1,0,1,0,0,0,0,0,high
data\raw\high_logic1.py,2,0,0,2,0,0,0,0,0,low
data\raw\high_logic2.py,3,1,0,2,0,0,0,0,0,high
data\raw\high_unused1.py,3,0,1,2,0,0,0,0,0,low
data\raw\high_unused2.py,4,0,1,2,1,0,0,0,0,low
data\raw\low_convention1.py,3,0,0,3,0,0,0,0,0,low
data\raw\low_convention2.py,2,0,0,2,0,0,0,0,0,low
data\raw\low_convention3.py,3,0,0,3,0,0,0,0,0,low
data\raw\low_convention4.py,4,0,2,2,0,0,0,0,0,low
data\raw\low_convention5.py,3,0,0,3,0,0,0,0,0,low
data\raw\medium_docstring1.py,3,0,0,3,0,0,0,0,0,low
data\raw\medium_docstring2.py,2,0,0,2,0,0,0,0,0,low
data\raw\medium_refactor1.py,2,0,0,2,0,0,0,0,0,low
data\raw\medium_style1.py,3,0,0,3,0,0,0,0,0,low
data\raw\medium_style2.py,9,0,5,2,2,0,0,0,0,medium
data\raw\medium_style3.py,3,0,0,3,0,0,0,0,0,low
